product_id,review_date,rating,sentiment,department
1028,2024-10-03,3,positive,Sports
1022,2024-12-08,4,positive,Beauty
1023,2024-08-08,3,positive,Electronics
1012,2024-02-10,3,negative,Home
1017,2024-05-13,1,neutral,Home
1004,2024-06-08,3,positive,Home
1024,2024-03-04,3,negative,Beauty
1039,2024-07-04,2,positive,Electronics
1037,2024-07-01,5,neutral,Electronics
1038,2024-11-25,3,positive,Sports
1017,2024-07-03,2,neutral,Beauty
1036,2024-02-12,5,positive,Beauty
1027,2024-10-28,5,negative,Electronics
1007,2024-10-23,2,negative,Clothing
1017,2024-11-22,2,negative,Beauty
1031,2024-05-14,2,positive,Sports
1027,2024-06-17,4,positive,Sports
1019,2024-01-08,5,positive,Home
1044,2024-03-06,2,positive,Electronics
1006,2024-03-31,4,positive,Electronics
1027,2024-04-09,4,positive,Clothing
1043,2024-10-11,3,positive,Home
1044,2024-07-04,2,positive,Home
1000,2024-02-02,2,positive,Home
1037,2024-06-12,5,neutral,Sports
1016,2024-12-23,1,positive,Beauty
1010,2024-11-05,2,negative,Clothing
1037,2024-05-22,2,neutral,Home
1032,2024-09-08,1,negative,Sports
1047,2024-05-08,5,neutral,Home
1009,2024-06-10,4,neutral,Electronics
1034,2024-12-14,2,neutral,Sports
1024,2024-03-09,3,negative,Home
1039,2024-05-06,4,negative,Electronics
1014,2024-09-27,2,neutral,Electronics
1042,2024-04-29,3,neutral,Home
1049,2024-11-15,2,positive,Clothing
1015,2024-09-26,3,positive,Clothing
1022,2024-06-25,3,positive,Sports
1000,2024-09-13,2,negative,Electronics
1016,2024-05-19,3,positive,Clothing
1050,2024-04-27,4,positive,Electronics
1044,2024-01-09,4,positive,Electronics
1019,2024-04-11,3,neutral,Electronics
1014,2024-08-10,5,positive,Home
1050,2024-08-11,4,neutral,Sports
1036,2024-09-21,5,negative,Beauty
1019,2024-03-23,3,positive,Sports
1013,2024-11-08,1,negative,Sports
1008,2024-07-27,2,neutral,Electronics
1024,2024-02-15,1,positive,Clothing
1022,2024-06-04,3,positive,Beauty
1032,2024-01-03,5,positive,Beauty
1043,2024-10-03,5,negative,Electronics
1001,2024-03-03,1,neutral,Sports
1020,2024-03-18,2,positive,Sports
1020,2024-08-10,4,neutral,Sports
1004,2024-02-12,1,positive,Beauty
1044,2024-05-08,1,neutral,Beauty
1040,2024-01-04,5,positive,Sports
1006,2024-01-23,2,neutral,Electronics
1018,2024-12-11,5,negative,Sports
1037,2024-02-13,5,positive,Clothing
1023,2024-09-12,4,negative,Sports
1010,2024-09-17,3,positive,Beauty
1048,2024-05-06,5,neutral,Clothing
1027,2024-10-28,2,negative,Home
1031,2024-11-06,1,positive,Electronics
1037,2024-01-16,1,positive,Electronics
1040,2024-04-10,1,positive,Electronics
1019,2024-08-05,1,positive,Sports
1011,2024-02-29,2,positive,Home
1010,2024-05-25,4,neutral,Clothing
1011,2024-01-07,2,positive,Beauty
1017,2024-07-07,1,neutral,Home
1005,2024-07-25,5,positive,Home
1027,2024-11-19,1,neutral,Beauty
1027,2024-05-31,3,neutral,Sports
1048,2024-12-31,3,neutral,Home
1020,2024-04-02,5,neutral,Clothing
1032,2024-06-02,1,positive,Clothing
1006,2024-01-02,1,positive,Electronics
1015,2024-05-26,5,neutral,Beauty
1020,2024-01-22,1,neutral,Sports
1043,2024-10-23,2,positive,Home
1036,2024-08-22,5,positive,Beauty
1015,2024-03-06,3,positive,Home
1011,2024-12-11,1,positive,Electronics
1017,2024-02-01,2,positive,Electronics
1033,2024-07-13,2,positive,Electronics
1030,2024-12-16,4,positive,Electronics
1030,2024-10-20,3,positive,Electronics
1003,2024-04-04,1,positive,Home
1037,2024-04-30,1,positive,Clothing
1033,2024-01-28,1,negative,Beauty
1000,2024-02-23,2,positive,Electronics
1011,2024-01-26,4,neutral,Home
1005,2024-12-15,1,positive,Electronics
1019,2024-02-29,2,neutral,Sports
1032,2024-04-17,2,neutral,Sports
1049,2024-01-15,4,positive,Home
1009,2024-06-30,2,negative,Beauty
1024,2024-07-15,4,positive,Sports
1028,2024-11-13,5,negative,Clothing
1029,2024-01-01,5,negative,Home
1034,2024-08-12,3,neutral,Beauty
1004,2024-12-22,2,neutral,Beauty
1034,2024-12-25,4,negative,Clothing
1044,2024-10-14,5,positive,Beauty
1029,2024-09-12,3,positive,Clothing
1028,2024-08-09,5,negative,Sports
1004,2024-10-07,1,positive,Clothing
1050,2024-12-27,1,neutral,Home
1041,2024-03-15,1,neutral,Clothing
1040,2024-03-06,1,positive,Sports
1001,2024-01-21,1,positive,Clothing
1045,2024-12-26,3,neutral,Clothing
1043,2024-08-13,4,neutral,Electronics
1018,2024-08-05,5,negative,Beauty
1001,2024-06-24,2,positive,Clothing
1017,2024-11-27,5,neutral,Clothing
1026,2024-08-26,5,positive,Electronics
1014,2024-11-08,4,positive,Home
1014,2024-07-08,4,neutral,Sports
1004,2024-10-19,3,positive,Home
1032,2024-03-07,4,positive,Beauty
1009,2024-04-02,2,positive,Sports
1039,2024-12-26,4,positive,Beauty
1004,2024-05-07,5,negative,Sports
1002,2024-04-29,2,positive,Electronics
1037,2024-02-15,1,neutral,Clothing
1044,2024-11-10,5,positive,Electronics
1007,2024-10-21,5,negative,Clothing
1003,2024-01-24,5,neutral,Clothing
1047,2024-12-01,4,positive,Sports
1031,2024-04-25,5,negative,Electronics
1006,2024-08-28,3,neutral,Clothing
1012,2024-05-14,1,positive,Electronics
1030,2024-02-25,5,neutral,Sports
1019,2024-07-15,4,neutral,Electronics
1033,2024-05-16,1,neutral,Clothing
1050,2024-11-06,5,positive,Electronics
1027,2024-01-02,2,neutral,Clothing
1015,2024-08-14,4,neutral,Sports
1029,2024-07-19,3,positive,Clothing
1020,2024-06-25,5,neutral,Clothing
1036,2024-10-09,3,neutral,Home
1020,2024-09-23,3,negative,Beauty
1006,2024-06-01,3,negative,Home
1013,2024-09-14,4,positive,Beauty
1047,2024-12-03,2,negative,Clothing
1037,2024-05-03,2,positive,Home
1033,2024-07-17,3,neutral,Home
1041,2024-09-05,3,negative,Electronics
1015,2024-01-21,3,positive,Clothing
1041,2024-04-30,1,negative,Clothing
1010,2024-02-27,3,positive,Sports
1038,2024-09-15,4,neutral,Home
1038,2024-04-30,4,positive,Home
1004,2024-10-28,1,positive,Clothing
1004,2024-11-20,1,negative,Sports
1010,2024-02-04,2,positive,Clothing
1043,2024-09-29,2,negative,Home
1026,2024-11-25,5,positive,Clothing
1036,2024-04-10,3,positive,Clothing
1036,2024-02-29,2,negative,Beauty
1048,2024-02-25,5,positive,Sports
1019,2024-09-04,5,positive,Sports
1030,2024-02-27,5,positive,Beauty
1000,2024-08-16,1,negative,Beauty
1011,2024-10-05,4,negative,Sports
1029,2024-09-25,4,negative,Electronics
1010,2024-09-12,2,positive,Electronics
1021,2024-02-06,2,negative,Electronics
1041,2024-09-12,2,positive,Clothing
1010,2024-03-20,1,positive,Home
1023,2024-07-30,4,negative,Beauty
1034,2024-12-31,5,positive,Sports
1013,2024-07-28,1,neutral,Clothing
1024,2024-12-01,3,positive,Electronics
1047,2024-06-15,4,positive,Beauty
1048,2024-09-12,5,neutral,Sports
1031,2024-11-30,5,negative,Sports
1027,2024-03-05,2,negative,Electronics
1016,2024-03-16,5,negative,Home
1035,2024-12-06,1,positive,Electronics
1042,2024-07-22,1,positive,Clothing
1004,2024-04-30,2,negative,Beauty
1031,2024-07-18,4,positive,Beauty
1047,2024-06-11,4,positive,Sports
1017,2024-03-04,3,negative,Sports
1011,2024-08-26,4,positive,Clothing
1005,2024-08-17,5,positive,Electronics
1002,2024-12-19,4,positive,Beauty
1017,2024-02-28,1,negative,Sports
1023,2024-08-12,5,neutral,Beauty
1047,2024-12-02,5,negative,Home
1028,2024-03-02,1,neutral,Sports
1022,2024-07-03,2,negative,Electronics
1038,2024-04-21,2,positive,Electronics
1049,2024-10-19,3,negative,Beauty
1033,2024-06-28,5,neutral,Clothing
1020,2024-05-26,1,neutral,Sports
1040,2024-06-18,4,positive,Beauty
1038,2024-09-10,3,neutral,Electronics
1048,2024-09-23,1,positive,Beauty
1044,2024-09-11,2,neutral,Clothing
1043,2024-12-04,2,positive,Beauty
1002,2024-01-16,4,negative,Electronics
1006,2024-07-04,1,positive,Beauty
1000,2024-03-27,4,positive,Beauty
1007,2024-11-25,2,neutral,Electronics
1014,2024-11-07,5,negative,Beauty
1020,2024-08-10,2,negative,Clothing
1009,2024-08-18,2,positive,Home
1035,2024-06-09,2,negative,Clothing
1006,2024-09-20,1,positive,Clothing
1032,2024-03-28,1,neutral,Beauty
1012,2024-09-12,4,neutral,Home
1031,2024-05-02,4,neutral,Beauty
1024,2024-08-03,3,positive,Clothing
1028,2024-07-11,2,positive,Sports
1007,2024-06-22,1,positive,Electronics
1009,2024-08-24,3,positive,Sports
1003,2024-12-06,1,neutral,Home
1005,2024-10-03,1,neutral,Sports
1015,2024-05-01,2,negative,Sports
1000,2024-04-08,5,positive,Electronics
1026,2024-04-05,3,negative,Clothing
1036,2024-04-19,5,neutral,Clothing
1033,2024-06-06,5,positive,Home
1041,2024-03-31,1,negative,Home
1012,2024-10-01,3,neutral,Home
1038,2024-08-30,2,positive,Clothing
1014,2024-09-11,4,neutral,Clothing
1033,2024-09-14,2,negative,Electronics
1013,2024-01-22,3,positive,Electronics
1040,2024-03-14,2,positive,Clothing
1013,2024-12-29,5,positive,Home
1032,2024-04-23,4,positive,Clothing
1036,2024-01-11,1,positive,Electronics
1010,2024-04-28,5,neutral,Home
1015,2024-06-26,1,positive,Electronics
1000,2024-07-05,1,negative,Sports
1044,2024-05-24,1,positive,Beauty
1014,2024-10-27,3,positive,Electronics
1029,2024-07-24,2,neutral,Beauty
1009,2024-12-27,1,neutral,Clothing
1020,2024-10-16,4,neutral,Home
1037,2024-09-14,3,neutral,Electronics
1006,2024-08-06,3,positive,Clothing
1022,2024-07-28,4,positive,Electronics
1033,2024-02-23,1,positive,Home
1007,2024-11-30,5,negative,Beauty
1036,2024-09-07,3,positive,Beauty
1041,2024-06-22,1,positive,Clothing
1006,2024-04-12,4,positive,Electronics
1030,2024-02-26,2,positive,Sports
1004,2024-03-22,5,positive,Clothing
1043,2024-05-29,4,positive,Home
1038,2024-07-30,3,neutral,Sports
1005,2024-08-13,5,neutral,Electronics
1045,2024-06-29,2,negative,Home
1015,2024-01-30,1,positive,Electronics
1015,2024-10-22,2,positive,Home
1035,2024-04-20,4,negative,Clothing
1018,2024-04-22,4,neutral,Clothing
1043,2024-10-16,5,neutral,Home
1032,2024-01-10,3,negative,Home
1040,2024-06-05,1,positive,Electronics
1035,2024-02-09,2,positive,Electronics
1012,2024-06-04,4,positive,Sports
1042,2024-10-06,2,positive,Electronics
1014,2024-08-27,1,positive,Sports
1001,2024-12-20,1,positive,Beauty
1032,2024-09-23,2,positive,Home
1023,2024-01-11,1,neutral,Beauty
1009,2024-04-11,5,negative,Clothing
1032,2024-10-10,4,neutral,Electronics
1050,2024-01-18,2,positive,Sports
1030,2024-06-27,2,neutral,Home
1016,2024-12-10,4,neutral,Beauty
1022,2024-09-28,5,negative,Home
1038,2024-10-29,1,positive,Sports
1018,2024-10-18,3,positive,Sports
1009,2024-04-23,4,negative,Sports
1043,2024-07-03,3,neutral,Sports
1017,2024-06-21,4,positive,Home
1037,2024-05-28,5,positive,Beauty
1009,2024-05-24,1,positive,Sports
1028,2024-01-27,1,positive,Sports
1011,2024-07-24,5,positive,Home
1032,2024-04-22,5,positive,Electronics
1011,2024-07-18,5,positive,Home
1040,2024-04-06,2,positive,Sports
1028,2024-07-25,3,positive,Clothing
1022,2024-02-19,1,neutral,Home
1043,2024-10-28,3,neutral,Clothing
1030,2024-12-12,2,neutral,Beauty
1025,2024-09-28,2,neutral,Home
1030,2024-03-30,5,neutral,Beauty
1004,2024-08-16,5,positive,Electronics
1008,2024-03-01,1,negative,Beauty
1044,2024-09-13,5,neutral,Clothing
1021,2024-07-05,3,negative,Beauty
1045,2024-11-09,4,negative,Home
1041,2024-08-02,1,neutral,Home
1027,2024-11-02,3,negative,Sports
1006,2024-08-17,2,negative,Electronics
1002,2024-08-24,1,neutral,Electronics
1044,2024-02-19,2,positive,Sports
1041,2024-06-22,2,neutral,Electronics
1012,2024-01-27,3,neutral,Home
1004,2024-11-06,1,positive,Home
1046,2024-02-17,3,neutral,Electronics
1050,2024-03-28,2,neutral,Electronics
1034,2024-02-11,3,positive,Home
1042,2024-01-11,3,neutral,Beauty
1023,2024-05-20,1,neutral,Electronics
1012,2024-04-01,3,positive,Sports
1042,2024-04-03,1,neutral,Clothing
1020,2024-10-02,5,neutral,Home
1032,2024-09-16,2,neutral,Clothing
1000,2024-06-13,3,positive,Clothing
1042,2024-03-24,1,negative,Beauty
1048,2024-08-17,5,negative,Beauty
1013,2024-03-25,5,neutral,Sports
1003,2024-06-10,5,positive,Sports
1014,2024-08-31,1,neutral,Electronics
1002,2024-10-26,2,neutral,Beauty
1013,2024-06-23,5,positive,Electronics
1018,2024-01-08,3,neutral,Home
1003,2024-08-13,2,positive,Beauty
1041,2024-07-08,4,positive,Beauty
1016,2024-10-01,1,positive,Electronics
1030,2024-10-18,4,positive,Electronics
1000,2024-12-11,4,neutral,Beauty
1016,2024-01-30,1,positive,Sports
1042,2024-05-26,4,neutral,Clothing
1016,2024-03-13,4,positive,Home
1023,2024-04-01,4,negative,Clothing
1028,2024-11-06,2,positive,Sports
1017,2024-11-11,4,positive,Electronics
1038,2024-03-12,2,negative,Electronics
1008,2024-02-08,3,neutral,Electronics
1023,2024-07-16,2,positive,Beauty
1032,2024-02-21,3,neutral,Home
1032,2024-12-21,5,negative,Electronics
1031,2024-01-03,4,neutral,Home
1007,2024-05-24,4,negative,Clothing
1040,2024-01-30,4,positive,Electronics
1011,2024-07-02,2,negative,Clothing
1003,2024-04-24,5,neutral,Electronics
1029,2024-11-21,2,neutral,Beauty
1015,2024-03-05,3,negative,Beauty
1033,2024-01-16,1,positive,Sports
1008,2024-03-17,2,neutral,Beauty
1006,2024-04-23,3,positive,Sports
1014,2024-02-06,4,neutral,Electronics
1043,2024-11-26,5,positive,Home
1033,2024-11-16,3,positive,Sports
1035,2024-07-12,5,negative,Home
1048,2024-09-08,3,positive,Home
1024,2024-09-08,5,negative,Electronics
1021,2024-12-26,4,positive,Home
1050,2024-05-03,4,neutral,Clothing
1047,2024-07-04,3,positive,Home
1020,2024-09-21,1,positive,Beauty
1016,2024-10-29,2,negative,Sports
1045,2024-11-24,3,positive,Home
1013,2024-11-17,5,positive,Sports
1018,2024-09-29,2,negative,Beauty
1021,2024-08-06,1,negative,Electronics
1000,2024-01-19,5,negative,Electronics
1037,2024-09-03,2,negative,Sports
1044,2024-01-23,5,negative,Sports
1008,2024-02-11,4,positive,Clothing
1026,2024-08-28,5,neutral,Electronics
1050,2024-12-16,5,positive,Clothing
1049,2024-01-17,1,positive,Beauty
1022,2024-03-07,5,positive,Sports
1024,2024-05-22,3,positive,Beauty
1036,2024-07-06,4,neutral,Electronics
1021,2024-05-31,5,neutral,Home
1004,2024-09-12,4,negative,Beauty
1017,2024-08-26,5,positive,Clothing
1016,2024-08-11,1,positive,Electronics
1043,2024-08-26,5,positive,Beauty
1037,2024-05-28,1,negative,Electronics
1026,2024-12-19,2,neutral,Clothing
1015,2024-10-26,2,positive,Sports
1026,2024-10-14,3,positive,Home
1044,2024-06-30,4,negative,Clothing
1010,2024-02-04,3,neutral,Electronics
1024,2024-12-23,4,positive,Home
1041,2024-05-07,5,negative,Home
1016,2024-05-21,5,positive,Sports
1026,2024-05-05,4,neutral,Beauty
1014,2024-01-01,2,positive,Electronics
1044,2024-11-08,1,neutral,Home
1007,2024-07-16,4,positive,Sports
1005,2024-05-07,5,neutral,Beauty
1010,2024-12-04,3,positive,Beauty
1004,2024-03-13,5,neutral,Electronics
1001,2024-08-16,2,positive,Home
1026,2024-08-08,4,positive,Home
1034,2024-12-20,5,negative,Home
1021,2024-01-04,5,neutral,Beauty
1039,2024-08-21,5,positive,Clothing
1036,2024-06-12,4,positive,Home
1004,2024-05-04,5,neutral,Sports
1008,2024-08-24,5,neutral,Sports
1014,2024-07-03,3,negative,Sports
1032,2024-03-04,5,positive,Beauty
1004,2024-07-26,1,positive,Electronics
1034,2024-12-13,3,negative,Clothing
1031,2024-06-23,4,positive,Electronics
1041,2024-12-08,1,neutral,Clothing
1003,2024-01-10,5,positive,Beauty
1010,2024-07-09,3,neutral,Home
1039,2024-07-28,3,neutral,Sports
1035,2024-01-02,4,neutral,Beauty
1022,2024-05-26,5,positive,Clothing
1014,2024-09-03,3,neutral,Sports
1000,2024-02-14,5,negative,Home
1039,2024-07-05,4,neutral,Clothing
1031,2024-02-02,3,negative,Beauty
1037,2024-05-22,3,positive,Electronics
1035,2024-10-03,2,negative,Home
1043,2024-03-08,2,neutral,Beauty
1006,2024-11-08,4,neutral,Home
1023,2024-10-18,3,neutral,Clothing
1009,2024-04-23,4,negative,Home
1018,2024-07-26,2,negative,Beauty
1044,2024-02-19,5,positive,Electronics
1029,2024-07-13,4,positive,Electronics
1044,2024-05-26,1,neutral,Clothing
